pop2024,pop2020,growth,name,aland_sqmi,intptlat,intptlong,slug,usps,lsad,lng,lat,type,rank,density
357767,383241,-0.01749,New Orleans,169.5,30.0534,-89.9345,new-orleans-la,LA,2,-89.9345,30.0534,City,1,2111
217342,226264,-0.01016,Baton Rouge,86.943,30.4404,-91.1332,baton-rouge-la,LA,2,-91.1332,30.4404,City,2,2500
174996,186848,-0.01665,Shreveport,108.145,32.4669,-93.7922,shreveport-la,LA,2,-93.7922,32.4669,City,3,1618
138958,138511,-0.0039,Metairie,23.159,29.9978,-90.1778,metairie-la,LA,5,-90.1778,29.9978,CDP,4,6000
121471,121455,0.00003,Lafayette,56.015,30.2056,-92.0281,lafayette-la,LA,2,-92.0281,30.2056,City,5,2169
77884,84879,-0.02196,Lake Charles,47.469,30.199,-93.2108,lake-charles-la,LA,2,-93.2108,30.199,City,6,1641
62749,62704,0.00018,Bossier City,44.258,32.5237,-93.6554,bossier-city-la,LA,2,-93.6554,32.5237,City,7,1418
62346,66293,-0.01558,Kenner,14.889,30.0102,-90.2548,kenner-la,LA,2,-90.2548,30.0102,City,8,4187
46285,47609,-0.0071,Monroe,29.732,32.519,-92.0772,monroe-la,LA,2,-92.0772,32.519,City,9,1557
42920,45104,-0.01256,Alexandria,28.477,31.2934,-92.4702,alexandria-la,LA,2,-92.4702,31.2934,City,10,1507
34409,33228,0.00283,Prairieville,21.998,30.3135,-90.9581,prairieville-la,LA,5,-90.9581,30.3135,CDP,11,1564
32153,31751,0.00234,Marrero,7.2,29.8857,-90.1132,marrero-la,LA,5,-90.1132,29.8857,CDP,12,4466
31196,33342,-0.01692,Houma,14.467,29.5787,-90.708,houma-la,LA,2,-90.708,29.5787,City,13,2156
29855,29559,0.00248,Central,62.257,30.5593,-91.0355,central-la,LA,2,-91.0355,30.5593,City,14,480
28680,29232,-0.00479,Laplace,20.895,30.0722,-90.477,laplace-la,LA,5,-90.477,30.0722,CDP,15,1373
28448,28694,-0.00217,Slidell,15.274,30.2889,-89.7829,slidell-la,LA,2,-89.7829,30.2889,City,16,1863
26639,28402,-0.01629,New Iberia,11.141,30.0055,-91.8203,new-iberia-la,LA,2,-91.8203,30.0055,City,17,2391
26166,26044,0.00119,Terrytown,3.664,29.9025,-90.0281,terrytown-la,LA,5,-90.0281,29.9025,CDP,18,7141
23469,19700,0.04182,Hammond,14.256,30.5056,-90.4565,hammond-la,LA,2,-90.4565,30.5056,City,19,1646
22614,23111,0.00942,Chalmette,7.174,29.944,-89.966,chalmette-la,LA,5,-89.966,29.944,CDP,20,3152
22259,22155,0.00117,Ruston,21.188,32.533,-92.6353,ruston-la,LA,2,-92.6353,32.533,City,21,1051
21978,20992,0.01137,Harvey,6.487,29.8888,-90.0664,harvey-la,LA,5,-90.0664,29.8888,CDP,22,3388
21977,20307,0.01939,Bayou Cane,7.613,29.6244,-90.751,bayou-cane-la,LA,5,-90.751,29.6244,CDP,23,2887
20138,19457,0.00851,Zachary,26.859,30.6644,-91.1658,zachary-la,LA,2,-91.1658,30.6644,City,24,750
19928,21814,-0.02314,Sulphur,11.235,30.2298,-93.3563,sulphur-la,LA,2,-93.3563,30.2298,City,25,1774
18658,16033,0.03644,Youngsville,12.549,30.0958,-91.9965,youngsville-la,LA,2,-91.9965,30.0958,City,26,1487
16938,17966,-0.01495,Natchitoches,22.689,31.7348,-93.1009,natchitoches-la,LA,2,-93.1009,31.7348,City,27,747
16852,17330,-0.00701,Estelle,4.638,29.8415,-90.0942,estelle-la,LA,5,-90.0942,29.8415,CDP,28,3633
16780,17762,-0.01445,Gretna,4.036,29.9109,-90.0517,gretna-la,LA,2,-90.0517,29.9109,City,29,4158
16077,21045,-0.07171,Shenandoah,6.198,30.4026,-91.0037,shenandoah-la,LA,5,-91.0037,30.4026,CDP,30,2594
15561,15901,-0.00543,Thibodaux,6.792,29.7949,-90.8146,thibodaux-la,LA,2,-90.8146,29.7949,City,31,2291
15260,15778,-0.00845,Opelousas,9.672,30.5249,-92.0817,opelousas-la,LA,2,-92.0817,30.5249,City,32,1578
14888,13507,0.02372,Broussard,18.127,30.1408,-91.9561,broussard-la,LA,2,-91.9561,30.1408,City,33,821
14391,14522,0.00643,Luling,23.29,29.8985,-90.3532,luling-la,LA,5,-90.3532,29.8985,CDP,34,618
14221,12284,0.03523,Gonzales,9.142,30.2127,-90.9224,gonzales-la,LA,2,-90.9224,30.2127,City,35,1556
13912,14400,-0.00869,Pineville,12.611,31.3429,-92.4089,pineville-la,LA,2,-92.4089,31.3429,City,36,1103
13728,9371,0.08616,Carencro,7.856,30.3126,-92.0387,carencro-la,LA,2,-92.0387,30.3126,City,37,1747
13216,13690,-0.00549,River Ridge,2.796,29.9586,-90.222,river-ridge-la,LA,5,-90.222,29.9586,CDP,38,4727
13052,12840,0.00408,Mandeville,9.359,30.3767,-90.1011,mandeville-la,LA,2,-90.1011,30.3767,City,39,1395
12501,10629,0.03889,Gardere,3.321,30.3583,-91.1346,gardere-la,LA,5,-91.1346,30.3583,CDP,40,3764
12456,11658,0.01632,Destrehan,5.744,29.9721,-90.3542,destrehan-la,LA,5,-90.3542,29.9721,CDP,41,2169
12414,13997,0.03286,Bayou Blue,23.273,29.6325,-90.669,bayou-blue-la,LA,5,-90.669,29.6325,CDP,42,533
12414,11904,0.01042,Claiborne,9.957,32.5412,-92.1962,claiborne-la,LA,5,-92.1962,32.5412,CDP,43,1247
12363,13051,-0.01372,West Monroe,8.026,32.5123,-92.1511,west-monroe-la,LA,2,-92.1511,32.5123,City,44,1540
12297,10908,0.02655,Woodmere,3.652,29.8387,-90.0774,woodmere-la,LA,5,-90.0774,29.8387,CDP,45,3367
11930,12436,-0.01053,Baker,8.431,30.5832,-91.1582,baker-la,LA,2,-91.1582,30.5832,City,46,1415
11840,10352,0.01102,Moss Bluff,15.228,30.3088,-93.2079,moss-bluff-la,LA,5,-93.2079,30.3088,CDP,47,778
11641,11549,0.00198,Covington,8.02,30.4802,-90.1118,covington-la,LA,2,-90.1118,30.4802,City,48,1451
11326,10498,0.01862,Timberlane,1.504,29.877,-90.0292,timberlane-la,LA,5,-90.0292,29.877,CDP,49,7531
11321,10241,0.02443,Belle Chasse,8.168,29.8587,-90.0033,belle-chasse-la,LA,5,-90.0033,29.8587,CDP,50,1386
11278,10835,0.00822,Raceland,21.568,29.7235,-90.6298,raceland-la,LA,5,-90.6298,29.7235,CDP,51,523
11134,11685,-0.01224,Crowley,5.851,30.2179,-92.3748,crowley-la,LA,2,-92.3748,30.2179,City,52,1903
11042,11865,-0.01831,Minden,15.037,32.6191,-93.2728,minden-la,LA,2,-93.2728,32.6191,City,53,734
10798,11164,-0.00845,Abbeville,6.047,29.9754,-92.1272,abbeville-la,LA,2,-92.1272,29.9754,City,54,1786
10695,11406,-0.01637,Morgan City,5.984,29.7103,-91.1915,morgan-city-la,LA,2,-91.1915,29.7103,City,55,1787
10495,10917,-0.00991,Waggaman,5.733,29.9378,-90.2312,waggaman-la,LA,5,-90.2312,29.9378,CDP,56,1831
10250,10621,-0.00899,Bogalusa,9.505,30.7754,-89.8617,bogalusa-la,LA,2,-89.8617,30.7754,City,57,1078
9996,10286,-0.00715,Jefferson,2.707,29.9604,-90.1559,jefferson-la,LA,5,-90.1559,29.9604,CDP,58,3693
9516,9828,-0.00813,DeRidder,9.29,30.845,-93.2952,deridder-la,LA,2,-93.2952,30.845,City,59,1024
9350,9346,0.00011,Denham Springs,7.323,30.4743,-90.959,denham-springs-la,LA,2,-90.959,30.4743,City,60,1277
9225,9811,-0.01569,Jennings,10.56,30.224,-92.6583,jennings-la,LA,2,-92.6583,30.224,City,61,874
9185,7688,0.01469,Village St. George,2.233,30.3598,-91.0672,village-st-george-la,LA,5,-91.0672,30.3598,CDP,62,4113
9154,8472,0.01904,Oak Hills Place,3.113,30.3707,-91.0877,oak-hills-place-la,LA,5,-91.0877,30.3707,CDP,63,2941
9085,9387,-0.0083,Eunice,5.138,30.4904,-92.4191,eunice-la,LA,2,-92.4191,30.4904,City,64,1768
9073,8103,0.02752,Eden Isle,3.037,30.2252,-89.8092,eden-isle-la,LA,5,-89.8092,30.2252,CDP,65,2987
9003,7321,0.04906,Old Jefferson,3.519,30.3775,-91.006,old-jefferson-la,LA,5,-91.006,30.3775,CDP,66,2558
8908,8187,0.02062,Scott,11.733,30.2398,-92.0948,scott-la,LA,2,-92.0948,30.2398,City,67,759
8783,9607,-0.02292,Bastrop,8.558,32.7749,-91.9078,bastrop-la,LA,2,-91.9078,32.7749,City,68,1026
8592,9098,-0.01457,Harahan,2.018,29.9364,-90.2027,harahan-la,LA,2,-90.2027,29.9364,City,69,4258
8183,8469,-0.0086,Prien,5.331,30.151,-93.2742,prien-la,LA,5,-93.2742,30.151,CDP,70,1535
8017,8540,-0.01608,Westwego,3.116,29.9054,-90.1435,westwego-la,LA,2,-90.1435,29.9054,City,71,2573
7893,9523,-0.04036,Merrydale,4.243,30.4998,-91.1081,merrydale-la,LA,5,-91.1081,30.4998,CDP,72,1860
7831,8823,-0.0307,Fort Polk South,6.144,31.0542,-93.2167,fort-polk-south-la,LA,5,-93.2167,31.0542,CDP,73,1275
7783,7865,-0.00269,Ponchatoula,4.719,30.4406,-90.4428,ponchatoula-la,LA,2,-90.4428,30.4406,City,74,1649
7779,6790,0.03279,Addis,4.204,30.3695,-91.2636,addis-la,LA,4,-91.2636,30.3695,Village,75,1850
7723,6619,0.00954,Red Chute,9.221,32.5703,-93.6131,red-chute-la,LA,5,-93.6131,32.5703,CDP,76,838
7651,8187,0.02368,Meraux,4.148,29.9275,-89.9192,meraux-la,LA,5,-89.9192,29.9275,CDP,77,1845
7518,8506,-0.03181,Reserve,14.559,30.073,-90.555,reserve-la,LA,5,-90.555,30.073,CDP,78,516
7507,7479,0.00093,Breaux Bridge,7.716,30.2831,-91.9059,breaux-bridge-la,LA,2,-91.9059,30.2831,City,79,973
7423,6409,0.03543,Bridge City,4.18,29.9408,-90.1566,bridge-city-la,LA,5,-90.1566,29.9408,CDP,80,1776
6911,6707,0.00743,Donaldsonville,3.778,30.0951,-90.9925,donaldsonville-la,LA,2,-90.9925,30.0951,City,81,1829
6908,7220,-0.01117,Rayne,3.792,30.2405,-92.2673,rayne-la,LA,2,-92.2673,30.2405,City,82,1822
6879,6770,-0.04112,St. Rose,6.606,29.9635,-90.3079,st-rose-la,LA,5,-90.3079,29.9635,CDP,83,1041
6831,6438,0.01456,St. Gabriel,29.657,30.2552,-91.1004,st-gabriel-la,LA,2,-91.1004,30.2552,City,84,230
6776,7294,-0.01868,Lacombe,26.447,30.3141,-89.9306,lacombe-la,LA,5,-89.9306,30.3141,CDP,85,256
6397,6383,0.00047,Walker,6.594,30.4864,-90.8656,walker-la,LA,4,-90.8656,30.4864,Village,86,970
6359,6671,-0.01212,Oakdale,5.192,30.8164,-92.6559,oakdale-la,LA,2,-92.6559,30.8164,City,87,1225
6229,6675,-0.01766,Franklin,9.961,29.7849,-91.5096,franklin-la,LA,2,-91.5096,29.7849,City,88,625
6120,6308,-0.00762,Ville Platte,4.017,30.6899,-92.2742,ville-platte-la,LA,2,-92.2742,30.6899,City,89,1524
6115,5108,0.04032,Chackbay,27.746,29.8585,-90.807,chackbay-la,LA,5,-90.807,29.8585,CDP,90,220
6063,6099,-0.00148,Elmwood,3.774,29.954,-90.1874,elmwood-la,LA,5,-90.1874,29.954,CDP,91,1607
5923,6223,-0.0125,Plaquemine,2.923,30.2832,-91.2438,plaquemine-la,LA,2,-91.2438,30.2832,City,92,2026
